paso,tiempo,energia,temperatura,presion
73,7.299999999999999e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
74,7.4e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
75,7.5e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
76,7.6e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
77,7.699999999999999e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
78,7.8e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
79,7.9e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
80,8e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
81,8.1e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
82,8.2e-11,3.7018340777714713e-20,268.24884621532397,0.00037018340777714707
